POP,HP,REG,regHP,SAMPLE,LANE,READ1,READ2
CHSC,CH,Scot,ScotCH,P14052_123,S23_L001_pt2,data/split/P14052_123_S23_L001_R1_001.part_002.fastq.gz,data/split/P14052_123_S23_L001_R2_001.part_002.fastq.gz
CHSC,CH,Scot,ScotCH,P14052_123,S23_L001_pt3,data/split/P14052_123_S23_L001_R1_001.part_003.fastq.gz,data/split/P14052_123_S23_L001_R2_001.part_003.fastq.gz
CHSC,CH,Scot,ScotCH,P14052_123,S23_L001_pt4,data/split/P14052_123_S23_L001_R1_001.part_004.fastq.gz,data/split/P14052_123_S23_L001_R2_001.part_004.fastq.gz
CHSC,CH,Scot,ScotCH,P14052_124,S24_L001_pt1,data/split/P14052_124_S24_L001_R1_001.part_001.fastq.gz,data/split/P14052_124_S24_L001_R2_001.part_001.fastq.gz
CHSC,CH,Scot,ScotCH,P14052_124,S24_L001_pt2,data/split/P14052_124_S24_L001_R1_001.part_002.fastq.gz,data/split/P14052_124_S24_L001_R2_001.part_002.fastq.gz
CHSC,CH,Scot,ScotCH,P14052_124,S24_L001_pt3,data/split/P14052_124_S24_L001_R1_001.part_003.fastq.gz,data/split/P14052_124_S24_L001_R2_001.part_003.fastq.gz
CHSC,CH,Scot,ScotCH,P14052_124,S24_L001_pt4,data/split/P14052_124_S24_L001_R1_001.part_004.fastq.gz,data/split/P14052_124_S24_L001_R2_001.part_004.fastq.gz
CHSC,CH,Scot,ScotCH,P14052_125,S25_L001_pt1,data/split/P14052_125_S25_L001_R1_001.part_001.fastq.gz,data/split/P14052_125_S25_L001_R2_001.part_001.fastq.gz
CHSC,CH,Scot,ScotCH,P14052_125,S25_L001_pt2,data/split/P14052_125_S25_L001_R1_001.part_002.fastq.gz,data/split/P14052_125_S25_L001_R2_001.part_002.fastq.gz
CHSC,CH,Scot,ScotCH,P14052_125,S25_L001_pt3,data/split/P14052_125_S25_L001_R1_001.part_003.fastq.gz,data/split/P14052_125_S25_L001_R2_001.part_003.fastq.gz
CHSC,CH,Scot,ScotCH,P14052_125,S25_L001_pt4,data/split/P14052_125_S25_L001_R1_001.part_004.fastq.gz,data/split/P14052_125_S25_L001_R2_001.part_004.fastq.gz
CHSC,CH,Scot,ScotCH,P14052_126,S26_L001,../../../data/WGS/rawdata/P14052/P14052_126/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_126_S26_L001_R1_001.fastq.gz,../../../data/WGS/rawdata/P14052/P14052_126/02-FASTQ/191115_A00621_0146_AHTV2WDSXX/P14052_126_S26_L001_R2_001.fastq.gz
CHSC,CH,Scot,ScotCH,P14052_127,S27_L001_pt1,data/split/P14052_127_S27_L001_R1_001.part_001.fastq.gz,data/split/P14052_127_S27_L001_R2_001.part_001.fastq.gz
CHSC,CH,Scot,ScotCH,P14052_127,S27_L001_pt2,data/split/P14052_127_S27_L001_R1_001.part_002.fastq.gz,data/split/P14052_127_S27_L001_R2_001.part_002.fastq.gz
CHSC,CH,Scot,ScotCH,P14052_127,S27_L001_pt3,data/split/P14052_127_S27_L001_R1_001.part_003.fastq.gz,data/split/P14052_127_S27_L001_R2_001.part_003.fastq.gz
CHSC,CH,Scot,ScotCH,P14052_127,S27_L001_pt4,data/split/P14052_127_S27_L001_R1_001.part_004.fastq.gz,data/split/P14052_127_S27_L001_R2_001.part_004.fastq.gz
